title,category,craeted_at,play_counts,like_counts,description,video
同志身份认同题材独立短片《Creep》,剧情短片-文艺-剧情短片-人生,10-22 17:20,2606,1198,“同志”从身份认同开始就面对着诸多的社会压力，人生的很多选择被动而无奈。“Creep”在英语口语中用于形容怪咖，短片中的主人公是大多数人眼里的“Creep”。主人公的故事也是隐藏在都市里每一个“Creep”的生活。在压力面前，懦弱的“Creep”往往选择形婚，酿造一出出悲剧。这是人性的枷锁也是时代的制约，少有人可以逃脱。究竟是唯唯诺诺地活在“爱”里，还是光明正大的活在痛里？如果在这个世界上，我们不再被赋予追逐爱的权力，我们还有什么？,https://qiniu-xpc0.xpccdn.com/5bcd968040c2a.mp4
踢不烂的故事,广告-美妆时尚,08-20 22:36,32061,1523,,https://qiniu-xpc0.xpccdn.com/5b7ad20f22514.mp4
新一线，新成都,宣传片-企业,01-19 11:17,25707,988,10年，成都已经演变为新经济重镇，其中的每一个人都相信世界正在改变着自己，自己也能改变成都。拍摄团队：有点时髦。,https://qiniu-xpc0.xpccdn.com/5a616344679ba.mp4
梅菜扣肉,广告-餐饮食品-系列短视频,05-22 16:25,6215,248,,https://qiniu-xpc0.xpccdn.com/5b03d40d8438b.mp4
37film / 羽西x时尚芭莎_许晴x张若昀,广告-美妆时尚,昨天 15:54,1024,36,,https://qiniu-xpc0.xpccdn.com/5bd0255763c51.mp4
【国风美少年】 概念宣传片,宣传片-其他,10-17 11:37,4366,210,,https://qiniu-xpc0.xpccdn.com/5bc6ae9b268a0.mp4
裙梦十年：我们经历一夜长大，身后早是空无一人,剧情短片-文艺-剧情短片-青春,10-22 10:48,2365,81,"十年前的一件礼裙，不经意间点燃了三个小县城女孩的公主梦，等到时间让她们成长为可以穿上裙子的模样时，命运让彼此失去联系...十年间她们在不同的城市里得到与失去，停滞与追寻。终于，由于某种契机，三个人的关系似乎因为同一件裙子发生转机……


主题曲：易烊千玺《精彩才刚刚开始》",https://qiniu-xpc0.xpccdn.com/5bcd3a9e5e8a4.mp4
漫威英雄广告《You are different》三篇合辑,广告-家居-剧情短片-励志,10-22 14:16,2591,83,,https://qiniu-xpc0.xpccdn.com/5bcd6b5f338b3.mp4
飞猪 - 让世界变好玩,广告-网络科技,10-19 11:14,6601,279,,https://qiniu-xpc0.xpccdn.com/5bc9ce0e164db.mp4
NOWNESS 电影幕后系列 编剧导演-谭惠珍,系列短视频-纪录-人物,10-18 10:09,2756,163,"NOWNESS“幕后”系列的第三支短片，我们来到香港街头，真实还原这座城市的社会群像，探寻人与电影的本质关联。

制片人 / Shaway Yeh
监制 / Yaohui
执行制片人 / Joanna Yao
导演、摄影 / Cong Lin
编辑 / Since Chen、Mandy Zheng
执行制片 / Feier Ren、Jay Wu 制作统筹 / Caroline Fan
形象 / Nick D",https://qiniu-xpc0.xpccdn.com/5bc7eb7d4964b.mp4
《过客》,剧情短片-文艺,10-21 02:52,1904,74,一段关于小广告的遇见。漫漫人生，总有很多过客像蝴蝶一样短暂停留。生活平淡无奇，却也有了期待。,https://qiniu-xpc0.xpccdn.com/5bcb798eb8545.mp4
【摄瘾研究所】VOL.008 如何在单一场景下拍出广告的质感,广告-游戏娱乐-影视-幕后制作,07-22 15:30,2573,144,"本期邀请沈导来跟大家分享一下，如何在低预算的情况下，在30分钟内用2台微单相机拍摄一部风格独特的广告片。

录制机器是Sony a6300和Sony a7s2
Sony 16-50mm F3.5-5.6 OSS PZ
Sony 35mm F1.8 OSS
Sony Sonnar T* FE 35mm F2.8 ZA
Sony Sonnar T* FE 55mm F1.8 ZA
Laina MAF MA Mount - EF Mount 
Sigma APO 75-300 4.5-5.6mm Macro（远古镜头，某宝700￥购入 99新）
Viltrox EF Mount - E Mount (Speed Booster)
Samyang VDSLR 系列镜头",https://qiniu-xpc0.xpccdn.com/5b5432b799445.mp4
FINE,剧情短片-文艺-剧情短片-悬疑,10-16 16:06,1893,70,故事发生在“少数派”受大众主流文化挤压、裹挟的社会背景之下，主人公在桌前梳洗打扮，突然他收到一条短信…,https://qiniu-xpc0.xpccdn.com/5bc59c270de3a.mp4
果汁的奇幻旅程,创意混剪-创意,2017-12-18 18:46,1747,75,"人生无常 
水果变茶的故事还在继续.......",https://qiniu-xpc0.xpccdn.com/5a379c83dbcd6.mp4
本来是场“比丑大会”，却在这之后全部翻盘,广告-美妆时尚,10-22 17:18,2138,139,前阵子自然堂发布的#重拍毕业照#活动掀起了一股宣言热潮，影片和平面火速在年轻族群里带出热烈的回应，将一场比丑大会转变成一场青春洋溢的个人秀，而这背后的制作即由刚加入Stink的首位华人导演Law Chen来操刀。,https://qiniu-xpc0.xpccdn.com/5bcd9606b4cd2.mp4
戴森dyson-王昱珩《光的故事》,广告-家居-广告-家电,10-22 20:12,3159,112,戴森dyson最新推出台灯/落地灯，邀请《最强大脑》中拥有超凡洞察力的明星选手“水哥”王昱珩，讲述他与光的故事。,https://qiniu-xpc0.xpccdn.com/5bcdbecec5748.mp4
迁徙的夜-金池《哭着吃饭的人》,系列短视频-剧情短片-青春,10-21 10:34,2898,139,,https://qiniu-xpc0.xpccdn.com/5bcbe5d6d247c.mp4
